name,state,city,country,pincode,phone,district,address,type,
Sardar Patel Mahavidyalaya,Uttar Pradesh,,India,221311,,Varanasi,"Barhaini, Babhaniyaon, Varanasi ? 221 311",Government,
K.M. College of Education,Uttar Pradesh,,India,209206,,Kanpur Dehat,"Muiya, Ghatampur, Kanpur Nagar ? 209 206",Private,
Narmada Devi Mahila Mahavidyalaya,Uttar Pradesh,,India,282058,,Agra,"Krmyogi Enclave, Kamla Nagar (Vimla Vatika),
Agra ? 282 005",Private,
Kapoori Devi Kraparam Mahavidyalaya,Uttar Pradesh,,India,207001,,Etah,"Dhauleshwar, Dist. Etah ? 207 001",Private,
Ramakrishna Mahavidyalaya,Uttar Pradesh,,India,209724,,Farrukhabad,"Ranukheda,
Kamalganj, Farrukhabad ? 209
724",Government,
Sri P.P.S. College,Uttar Pradesh,,India,207001,,Etah,"Vill. Nagla Khokar, Post ? Begaur, Dist. Etah ? 207 001",Private,
Shri Ramdhari Chauhan Mahavidyalaya,Uttar Pradesh,,India,275103,,Mau,"Basti, Khiriya, Mau
? 275 103",Private,
Lalita Devi Mahavidyalaya,Uttar Pradesh,,India,230139,,Pratapgarh,"Vill. & Post ? Rahatikar, Sangipur, Pratapgarh ? 230
139",Private,
Baba Jageshwar Nath Mahavidyalaya,Uttar Pradesh,,India,232103,,Varanasi,"Hetimpur, Chakiya, Dist. Chandauli ? 232 103",,
M.P. Garg Degree College,Uttar Pradesh,,India,211011,,Kaushambi,"Chakdadanpur, Jhalwa, Allahabad
? 211 012",Private,
Sant Keenaram P.G. College,Uttar Pradesh,,India,231216,,Sonbhadra,"Kaimoor Peeth,
Robertsganj, Sonebhadra ? 231
216",Private,
"Dr. Vishwambhar Singh Pratap Singh
Mahavidyalaya",Uttar Pradesh,,India,209217,,Kanpur Nagar,"Gadewa Tatiyaganj, Kanpur
? 209 217",,
Maharaja Agrasen Mahavidyalaya,Uttar Pradesh,,India,243123,,Bareilly,"Gram Rajau Paraspur, Near Transport Nagar, Faridpur Road,
Bareilly ? 243 123",Private,
Shree Raman Singh Degree College,Uttar Pradesh,,India,281204,,Mathura,"Vill. & Post   Khirari, Tehsil ? Mahavan, Block   Raya, Mathura ?
",Private,
Shri Pt. Yagya Narayan Dubay Smarak Mahavidyalaya,Uttar Pradesh,,India,212402,,Allahabad,"Latifpur, Barna, Phulpur, Allahabad
? 212 402",Private,
Dharampal Singh Chandraul Mahavidyalaya,Uttar Pradesh,,India,212641,,Fatehpur,"Gopalpur Adhauli, Dist. Fatehpur ? 212 641",,
K.G.S. Mahavidyalaya,Uttar Pradesh,,India,231303,,Mirzapur,"Jopa, Mirzapur ? 231 303",Private,
K.C. Adarsh Mahavidyalaya,Uttar Pradesh,,India,207246,,Etah,"Sidhpur, Kanshiram Nagar ? 207 246",Private,
Raja S.P. Singh Degree College,Uttar Pradesh,,India,282009,,Agra,"Itora, Gwalior
Road, Agra ? 282 009",Government,
Brahmavard Degree PG College,Uttar Pradesh,,India,209217,,Kanpur Nagar,"Mandhana, District
Kanpur Nagar   209 217",,
Shri Lal Singh Degree College,Uttar Pradesh,,India,282006,,Agra,"Avidgarh,
Tarrakpur, Hathras Road, Agra ? 282 006",Private,
Smt. Mahadevi Mahavidyalaya,Uttar Pradesh,,India,283135,,Firozabad,"Siddhbaba Ashram, Bharoul, Shikohabad, Firozabad ? 283
135",Private,
Shri Devi Prasad Mahavidyalaya,Uttar Pradesh,,India,212401,,Allahabad,"Pilkhini, Janghai, Allahabad ? 212
401",Private,
Kaushlendra Mahavidyalaya,Uttar Pradesh,,India,230204,,Pratapgarh,"Mangarh, Kunda, Pratapgarh ? 230
204",Private,
Laxmi Chand Katori Devi Degree College,Uttar Pradesh,,India,204101,,Hathras,"Agra Road, Hathras
? 204 101",Private,
Dhanraj Kunwar Girls Degree College,Uttar Pradesh,,India,230146,,Pratapgarh,"Sarai Bhupati, Katra Gulab Singh, Pratapgarh ? 230
146",,
Shri Nishad Raj Akhandanand Mahavidyalaya,Uttar Pradesh,,India,227411,,Sultanpur,"Kitiawan, Shahgarh, Amethi
? 227 411",Private,
Prem Prayag Mahavidyalaya,Uttar Pradesh,,India,205262,,Mainpuri,"Gandhi Nagar, Bhongaon, Mainpuri ? 205 262",Government,
Sri Ravinath Singh Degree College,Uttar Pradesh,,India,209601,,Farrukhabad,"Manikpur, Jethpur, Farrukhabad ? 209
601",Private,
Prakash Chandra Mahavidyalaya,Uttar Pradesh,,India,206122,,Auraiya,"Kakor Bujurg, Auraiya Dist. ?",Government,
Shri Radhey Krishan Munni Devi Mahavidyalaya,Uttar Pradesh,,India,209402,,Kanpur Nagar,"Tiwaripur (Salempur), Sarsaul, Kanpur
Nagar",Private,
